MPRN,Meter Serial Number,Read Value,Read Type,Read Date and End Time
100109xxxxx,223xxxxx,8788.611,24 Hr Active Import Register (kWh),19/07/2025 00:00
100109xxxxx,223xxxxx,8771.546,24 Hr Active Import Register (kWh),18/07/2025 00:00
100109xxxxx,223xxxxx,8753.09,24 Hr Active Import Register (kWh),17/07/2025 00:00
100109xxxxx,223xxxxx,8738.37,24 Hr Active Import Register (kWh),16/07/2025 00:00
100109xxxxx,223xxxxx,8728.991,24 Hr Active Import Register (kWh),15/07/2025 00:00
100109xxxxx,223xxxxx,8717.618,24 Hr Active Import Register (kWh),14/07/2025 00:00
100109xxxxx,223xxxxx,8709.426,24 Hr Active Import Register (kWh),13/07/2025 00:00
100109xxxxx,223xxxxx,8698.175,24 Hr Active Import Register (kWh),12/07/2025 00:00
100109xxxxx,223xxxxx,8689.519,24 Hr Active Import Register (kWh),11/07/2025 00:00
100109xxxxx,223xxxxx,8682.495,24 Hr Active Import Register (kWh),10/07/2025 00:00
100109xxxxx,223xxxxx,8672.558,24 Hr Active Import Register (kWh),09/07/2025 00:00
100109xxxxx,223xxxxx,8664.371,24 Hr Active Import Register (kWh),08/07/2025 00:00
100109xxxxx,223xxxxx,8654.62,24 Hr Active Import Register (kWh),07/07/2025 00:00
100109xxxxx,223xxxxx,8647.922,24 Hr Active Import Register (kWh),06/07/2025 00:00
100109xxxxx,223xxxxx,8634.328,24 Hr Active Import Register (kWh),05/07/2025 00:00
100109xxxxx,223xxxxx,8624.713,24 Hr Active Import Register (kWh),04/07/2025 00:00
100109xxxxx,223xxxxx,8614.345,24 Hr Active Import Register (kWh),03/07/2025 00:00
100109xxxxx,223xxxxx,8605.487,24 Hr Active Import Register (kWh),02/07/2025 00:00
100109xxxxx,223xxxxx,8593.912,24 Hr Active Import Register (kWh),01/07/2025 00:00
100109xxxxx,223xxxxx,8585.887,24 Hr Active Import Register (kWh),30/06/2025 00:00
100109xxxxx,223xxxxx,8577.193,24 Hr Active Import Register (kWh),29/06/2025 00:00
100109xxxxx,223xxxxx,8564.502,24 Hr Active Import Register (kWh),28/06/2025 00:00
100109xxxxx,223xxxxx,8551.032,24 Hr Active Import Register (kWh),27/06/2025 00:00
100109xxxxx,223xxxxx,8538.342,24 Hr Active Import Register (kWh),26/06/2025 00:00
100109xxxxx,223xxxxx,8528.946,24 Hr Active Import Register (kWh),25/06/2025 00:00
100109xxxxx,223xxxxx,8520.166,24 Hr Active Import Register (kWh),24/06/2025 00:00
